Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,1292.699951,1301.500000,1284.500000,1290.699951,1290.699951,151
2016-05-04,1286.900024,1290.000000,1273.000000,1273.300049,1273.300049,109
2016-05-05,1282.900024,1286.000000,1270.800049,1271.400024,1271.400024,330
2016-05-06,1278.599976,1295.599976,1276.900024,1292.900024,1292.900024,305
2016-05-09,1286.500000,1286.500000,1262.300049,1265.599976,1265.599976,341
2016-05-10,1265.099976,1267.400024,1258.699951,1263.900024,1263.900024,23
2016-05-11,1266.900024,1279.199951,1266.900024,1274.599976,1274.599976,50
2016-05-12,1267.000000,1281.199951,1264.000000,1270.300049,1270.300049,101
2016-05-13,1271.400024,1275.699951,1264.599976,1271.900024,1271.900024,66
2016-05-16,1272.800049,1287.800049,1272.800049,1273.400024,1273.400024,44
2016-05-17,1272.500000,1281.599976,1270.800049,1276.199951,1276.199951,16
2016-05-18,1276.400024,1276.400024,1256.800049,1273.699951,1273.699951,17
2016-05-19,1248.000000,1255.500000,1247.500000,1254.199951,1254.199951,69
2016-05-20,1256.599976,1256.599976,1252.400024,1252.400024,1252.400024,44
2016-05-23,1251.599976,1251.599976,1247.500000,1251.099976,1251.099976,56
2016-05-24,1240.000000,1240.000000,1228.199951,1228.900024,1228.900024,20
2016-05-25,1219.300049,1223.500000,1218.599976,1223.500000,1223.500000,5
2016-05-26,1232.599976,1232.599976,1220.099976,1220.099976,1220.099976,199778
2016-05-27,1220.300049,1223.199951,1206.400024,1213.800049,1213.800049,63739
2016-05-31,1212.500000,1217.599976,1199.000000,1214.800049,1214.800049,6432
2016-06-01,1215.699951,1219.800049,1205.400024,1211.900024,1211.900024,2717
2016-06-02,1212.400024,1217.000000,1209.599976,1209.800049,1209.800049,1627
2016-06-03,1209.099976,1244.500000,1206.400024,1240.099976,1240.099976,1622
2016-06-06,1244.400024,1247.300049,1240.000000,1244.599976,1244.599976,1135
2016-06-07,1244.000000,1244.900024,1236.500000,1244.400024,1244.400024,281
2016-06-08,1247.599976,1264.000000,1247.300049,1259.800049,1259.800049,406
2016-06-09,1262.500000,1271.400024,1258.099976,1270.199951,1270.199951,381
2016-06-10,1267.599976,1278.000000,1265.300049,1273.400024,1273.400024,397
2016-06-13,1276.199951,1287.300049,1273.000000,1284.400024,1284.400024,328
2016-06-14,1281.800049,1289.699951,1277.800049,1285.599976,1285.599976,554
2016-06-15,1284.599976,1296.199951,1278.800049,1285.800049,1285.800049,162
2016-06-16,1296.300049,1316.400024,1281.099976,1296.099976,1296.099976,251
2016-06-17,1280.300049,1300.099976,1280.300049,1292.500000,1292.500000,129
2016-06-20,1288.900024,1291.199951,1280.300049,1290.000000,1290.000000,153
2016-06-21,1293.900024,1293.900024,1266.300049,1270.500000,1270.500000,134
2016-06-22,1267.000000,1269.199951,1264.900024,1268.000000,1268.000000,53
2016-06-23,1263.400024,1270.500000,1255.199951,1261.199951,1261.199951,218
2016-06-24,1253.699951,1355.599976,1253.699951,1320.000000,1320.000000,694
2016-06-27,1330.000000,1331.699951,1320.000000,1322.500000,1322.500000,92
2016-06-28,1314.800049,1315.599976,1314.099976,1315.300049,1315.300049,1072
2016-06-29,1311.599976,1327.400024,1311.599976,1323.900024,1323.900024,414
2016-06-30,1315.800049,1323.500000,1314.500000,1318.400024,1318.400024,560
2016-07-01,1324.500000,1344.199951,1321.900024,1336.699951,1336.699951,137
2016-07-05,1342.199951,1356.800049,1339.699951,1356.400024,1356.400024,90
2016-07-06,1359.000000,1374.900024,1359.000000,1364.900024,1364.900024,130
2016-07-07,1366.800049,1368.599976,1350.500000,1360.099976,1360.099976,207
2016-07-08,1361.300049,1365.800049,1335.000000,1356.599976,1356.599976,249
2016-07-11,1371.699951,1371.800049,1353.000000,1355.000000,1355.000000,26
2016-07-12,1353.599976,1356.000000,1330.300049,1334.099976,1334.099976,252
2016-07-13,1341.500000,1342.400024,1336.699951,1342.400024,1342.400024,7
2016-07-14,1341.400024,1341.400024,1322.699951,1331.300049,1331.300049,20
2016-07-15,1333.699951,1333.699951,1322.900024,1326.500000,1326.500000,52
2016-07-18,1327.500000,1335.000000,1326.199951,1328.400024,1328.400024,54
2016-07-19,1328.500000,1333.199951,1326.400024,1331.500000,1331.500000,322
2016-07-20,1331.000000,1337.500000,1315.500000,1318.800049,1318.800049,751
2016-07-21,1312.800049,1330.500000,1312.800049,1330.500000,1330.500000,318
2016-07-22,1330.699951,1330.699951,1320.400024,1323.099976,1323.099976,55
2016-07-25,1315.699951,1319.300049,1313.800049,1319.300049,1319.300049,548
2016-07-26,1315.199951,1320.699951,1315.199951,1320.699951,1320.699951,63
2016-07-27,1326.000000,1326.599976,1326.000000,1326.599976,1326.599976,215388
2016-07-28,1339.500000,1344.300049,1330.099976,1332.300049,1332.300049,56908
2016-07-29,1333.199951,1353.300049,1325.800049,1349.000000,1349.000000,6076
2016-08-01,1348.800049,1353.500000,1345.599976,1351.400024,1351.400024,1257
2016-08-02,1352.099976,1366.000000,1346.599976,1364.400024,1364.400024,2941
2016-08-03,1362.400024,1364.699951,1353.300049,1356.099976,1356.099976,715
2016-08-04,1354.400024,1361.599976,1347.000000,1358.800049,1358.800049,381
2016-08-05,1357.599976,1360.800049,1333.699951,1336.400024,1336.400024,1107
2016-08-08,1330.000000,1335.400024,1327.800049,1333.400024,1333.400024,587
2016-08-09,1331.800049,1339.400024,1328.500000,1339.000000,1339.000000,620
2016-08-10,1344.800049,1354.199951,1344.300049,1344.300049,1344.300049,110
2016-08-11,1341.599976,1350.400024,1334.800049,1342.500000,1342.500000,666
2016-08-12,1336.800049,1351.800049,1333.199951,1335.800049,1335.800049,113
2016-08-15,1336.500000,1340.599976,1333.599976,1340.300049,1340.300049,62
2016-08-16,1342.199951,1355.000000,1341.000000,1350.500000,1350.500000,338
2016-08-17,1345.500000,1347.300049,1338.599976,1342.699951,1342.699951,135
2016-08-18,1351.300049,1354.400024,1348.199951,1351.199951,1351.199951,140
2016-08-19,1350.099976,1350.099976,1338.599976,1340.400024,1340.400024,197
2016-08-22,1334.400024,1337.699951,1333.300049,1337.699951,1337.699951,117
2016-08-23,1337.000000,1341.199951,1334.300049,1340.599976,1340.599976,551
2016-08-24,1337.199951,1337.199951,1322.900024,1324.400024,1324.400024,262
2016-08-25,1321.400024,1324.000000,1317.000000,1320.099976,1320.099976,58
2016-08-26,1323.800049,1340.500000,1320.099976,1321.500000,1321.500000,141
2016-08-29,1315.000000,1323.000000,1315.000000,1322.900024,1322.900024,437
2016-08-30,1322.000000,1322.099976,1308.000000,1311.699951,1311.699951,705
2016-08-31,1310.300049,1313.699951,1306.300049,1306.900024,1306.900024,214
2016-09-01,1305.300049,1313.099976,1301.500000,1312.199951,1312.199951,225
2016-09-02,1309.599976,1326.699951,1309.199951,1322.099976,1322.099976,55
2016-09-06,1323.300049,1349.400024,1323.199951,1349.400024,1349.400024,46
2016-09-07,1348.400024,1350.500000,1343.900024,1344.300049,1344.300049,14
2016-09-08,1344.800049,1345.400024,1335.699951,1336.800049,1336.800049,30
2016-09-09,1338.500000,1338.500000,1328.000000,1330.099976,1330.099976,35
2016-09-12,1327.000000,1329.300049,1319.900024,1321.000000,1321.000000,177
2016-09-13,1324.599976,1324.599976,1315.000000,1319.000000,1319.000000,79
2016-09-14,1319.199951,1322.300049,1319.199951,1321.500000,1321.500000,73
2016-09-15,1320.699951,1320.699951,1310.800049,1313.500000,1313.500000,37
2016-09-16,1312.199951,1312.599976,1305.800049,1305.800049,1305.800049,4
2016-09-19,1313.500000,1313.500000,1313.500000,1313.500000,1313.500000,20
2016-09-20,1313.699951,1313.699951,1313.699951,1313.699951,1313.699951,97
2016-09-21,1326.300049,1326.900024,1324.000000,1326.900024,1326.900024,76
2016-09-22,1338.599976,1340.400024,1338.199951,1340.400024,1340.400024,23
2016-09-23,1337.199951,1337.199951,1337.199951,1337.199951,1337.199951,40
2016-09-26,1335.199951,1341.800049,1335.199951,1339.699951,1339.699951,24
2016-09-27,1328.000000,1328.699951,1325.900024,1325.900024,1325.900024,48
2016-09-28,1319.400024,1319.400024,1319.400024,1319.400024,1319.400024,10551
2016-09-29,1321.199951,1325.000000,1314.699951,1321.699951,1321.699951,6108
2016-09-30,1320.599976,1327.699951,1312.900024,1313.300049,1313.300049,868
2016-10-03,1313.500000,1316.800049,1308.199951,1309.000000,1309.000000,299
2016-10-04,1307.599976,1310.199951,1266.300049,1266.300049,1266.300049,1893
2016-10-05,1272.099976,1274.000000,1261.300049,1265.199951,1265.199951,246
2016-10-06,1265.300049,1265.300049,1249.800049,1249.800049,1249.800049,114
2016-10-07,1253.900024,1263.599976,1248.900024,1248.900024,1248.900024,169
2016-10-11,1258.900024,1258.900024,1253.000000,1253.000000,1253.000000,26
2016-10-12,1251.699951,1254.000000,1251.099976,1251.099976,1251.099976,127
2016-10-13,1258.699951,1259.000000,1255.000000,1255.000000,1255.000000,315
2016-10-14,1253.900024,1253.900024,1250.599976,1253.099976,1253.099976,311
2016-10-17,1249.900024,1255.000000,1249.900024,1254.400024,1254.400024,41
2016-10-18,1260.900024,1261.699951,1260.800049,1260.800049,1260.800049,11
2016-10-19,1262.900024,1271.500000,1262.900024,1267.900024,1267.900024,219
2016-10-20,1270.000000,1270.500000,1265.500000,1265.599976,1265.599976,415
2016-10-21,1265.900024,1265.900024,1265.900024,1265.900024,1265.900024,224
2016-10-24,1269.199951,1269.199951,1261.800049,1262.000000,1262.000000,42
2016-10-25,1264.099976,1274.099976,1264.099976,1271.900024,1271.900024,61
2016-10-26,1274.000000,1274.000000,1264.800049,1264.800049,1264.800049,279
2016-10-27,1269.400024,1269.400024,1267.900024,1267.900024,1267.900024,338
2016-10-28,1270.300049,1281.500000,1262.000000,1275.500000,1275.500000,560
2016-10-31,1276.599976,1276.599976,1271.500000,1271.500000,1271.500000,58
2016-11-01,1279.300049,1290.699951,1279.000000,1286.400024,1286.400024,49
2016-11-02,1288.300049,1307.000000,1288.300049,1306.800049,1306.800049,30
2016-11-03,1296.400024,1303.099976,1287.300049,1302.099976,1302.099976,73
2016-11-04,1300.000000,1303.300049,1296.699951,1303.300049,1303.300049,11
2016-11-07,1292.000000,1294.500000,1278.300049,1278.300049,1278.300049,34
2016-11-08,1284.099976,1289.400024,1273.199951,1273.400024,1273.400024,50
2016-11-09,1272.199951,1318.599976,1270.000000,1272.599976,1272.599976,108
2016-11-10,1274.400024,1287.500000,1253.300049,1265.500000,1265.500000,63
2016-11-14,1227.800049,1229.500000,1210.400024,1221.199951,1221.199951,216
2016-11-15,1224.300049,1226.000000,1222.500000,1224.000000,1224.000000,20
2016-11-16,1229.300049,1229.300049,1223.000000,1223.400024,1223.400024,66
